      L    Grid  Aspect    Temp       Energy    EnergyErr        Force     ForceErr Status
 27.500   0.400   3.000 300.000   -2.083e-06    1.482e-14   -3.442e-07    0.000e+00    0
 27.500   0.400   5.000 300.000   -3.317e-06    1.469e-15   -5.086e-07    0.000e+00    0
 30.000   0.200   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 30.000   0.300  10.000 300.000   -3.874e-06    5.921e-15   -4.913e-07    0.000e+00    0
 30.000   0.300  15.000 300.000   -4.726e-06    2.952e-14   -5.525e-07    0.000e+00    0
 30.000   0.300   2.000 300.000   -9.282e-07    7.274e-16   -1.519e-07    0.000e+00    0
 30.000   0.300  20.000 300.000   -5.183e-06    2.677e-15   -5.823e-07    0.000e+00    0
 30.000   0.300   3.000 300.000   -1.388e-06    1.586e-15   -2.191e-07    0.000e+00    0
 30.000   0.300   5.000 300.000   -2.344e-06    2.181e-14   -3.348e-07    0.000e+00    0
 30.000   0.400  10.000 300.000   -3.830e-06    1.055e-14   -4.831e-07    0.000e+00    0
 30.000   0.400  15.000 300.000   -4.638e-06    7.943e-15   -5.432e-07    0.000e+00    0
 30.000   0.400   2.000 300.000   -9.374e-07    1.891e-15   -1.495e-07    0.000e+00    0
 30.000   0.400  20.000 300.000   -5.076e-06    3.229e-15   -5.717e-07    0.000e+00    0
 30.000   0.400   3.000 300.000   -1.387e-06    1.405e-14   -2.159e-07    0.000e+00    0
 30.000   0.400   5.000 300.000   -2.287e-06    2.415e-15   -3.296e-07    0.000e+00    0
