3528,-1974,-1974
3094,-2539,-2539
2560,-3011,-3011
1946,-3373,-3373
1274,-3611,-3611
569,-3717,-3717
-142,-3686,-3686
-835,-3521,-3521
-1484,-3226,-3226
-2065,-2813,-2813
-2557,-2297,-2297
-2941,-1697,-1697
-3203,-1034,-1034
-3335,-334,-334
-3331,378,378
-3191,1077,1077
-2920,1736,1736
-2528,2332,2332
-2031,2843,2843
-1445,3248,3248
-793,3535,3535
-97,3692,3692
614,3715,3715
1318,3600,3600
1987,3354,3354
2597,2984,2984
3125,2506,2506
3552,1935,1935
3862,1294,1294
4045,605,605
4093,-105,-105
4005,-813,-813
3783,-1490,-1490
3436,-2113,-2113
2977,-2658,-2658
2423,-3106,-3106
1793,-3440,-3440
1112,-3648,-3648
403,-3722,-3722
-307,-3660,-3660
-992,-3463,-3463
-1627,-3140,-3140
-2189,-2701,-2701
-2657,-2163,-2163
-3013,-1546,-1546
-3246,-872,-872
-3346,-167,-167
-3310,544,544
-3139,1236,1236
-2839,1883,1883
-2421,2460,2460
-1901,2947,2947
-1297,3326,3326
-633,3584,3584
68,3710,3710
781,3700,3700
1478,3554,3554
2135,3278,3278
2728,2882,2882
3234,2380,2380
3636,1790,1790
3917,1136,1136
4069,439,439
4085,-272,-272
3965,-975,-975
3713,-1642,-1642
3339,-2249,-2249
2856,-2773,-2773
2282,-3195,-3195
1637,-3501,-3501
947,-3678,-3678
235,-3720,-3720
-470,-3626,-3626
-1146,-3399,-3399
-1766,-3047,-3047
-2307,-2583,-2583
-2751,-2025,-2025
-3079,-1393,-1393
-3281,-709,-709
-3350,0,0
-3282,709,709
-3080,1392,1392
-2751,2025,2025
-2308,2583,2583
-1766,3047,3047
-1147,3398,3398
-471,3626,3626
235,3720,3720
946,3678,3678
1637,3501,3501
2281,3196,3196
2855,2773,2773
3338,2249,2249
3712,1642,1642
3965,976,976
4085,273,273
4069,-438,-438
3917,-1135,-1135
3636,-1790,-1790
3235,-2379,-2379
2728,-2881,-2881
2136,-3277,-3277
1479,-3554,-3554
782,-3700,-3700
69,-3710,-3710
-632,-3584,-3584
-1296,-3327,-3327
-1900,-2948,-2948
-2420,-2461,-2461
-2838,-1883,-1883
-3138,-1236,-1236
-3310,-545,-545
-3346,166,166
-3247,872,872
-3014,1546,1546
-2657,2163,2163
-2189,2701,2701
-1627,3139,3139
-992,3463,3463
-307,3660,3660
402,3722,3722
1111,3648,3648
1793,3441,3441
2422,3107,3107
2977,2659,2659
3436,2114,2114
3783,1491,1491
4005,813,813
4093,106,106
4045,-604,-604
3863,-1293,-1293
3552,-1935,-1935
3125,-2505,-2505
2597,-2984,-2984
1987,-3353,-3353
1319,-3600,-3600
615,-3714,-3714
-96,-3693,-3693
-792,-3536,-3536
-1444,-3249,-3249
-2030,-2843,-2843
-2528,-2333,-2333
-2920,-1737,-1737
-3191,-1078,-1078
-3331,-379,-379
-3335,333,333
-3204,1033,1033
-2941,1696,1696
-2557,2296,2296
-2065,2813,2813
-1485,3226,3226
-836,3521,3521
-142,3686,3686
569,3717,3717
1274,3611,3611
1945,3373,3373
2560,3012,3012
3094,2539,2539
3528,1974,1974
3846,1336,1336
4037,650,650
4094,-60,-60
4015,-768,-768
3801,-1448,-1448
3462,-2075,-2075
3010,-2626,-2626
2461,-3081,-3081
1835,-3422,-3422
1156,-3639,-3639
448,-3721,-3721
-262,-3668,-3668
-949,-3480,-3480
-1588,-3164,-3164
-2155,-2732,-2732
-2630,-2200,-2200
-2994,-1588,-1588
-3235,-917,-917
-3344,-213,-213
-3316,499,499
-3154,1193,1193
-2862,1843,1843
-2451,2426,2426
-1937,2919,2919
-1338,3306,3306
-677,3571,3571
23,3706,3706
735,3705,3705
1435,3567,3567
2095,3299,3299
2693,2910,2910
3205,2415,2415
3613,1830,1830
3903,1179,1179
4063,485,485
4088,-227,-227
3976,-931,-931
3733,-1601,-1601
3366,-2212,-2212
2889,-2742,-2742
2321,-3172,-3172
1680,-3485,-3485
992,-3670,-3670
281,-3721,-3721
-425,-3636,-3636
-1104,-3417,-3417
-1728,-3073,-3073
-2275,-2616,-2616
-2726,-2064,-2064
-3062,-1435,-1435
-3273,-754,-754
-3350,-45,-45
-3290,664,664
-3097,1350,1350
-2776,1986,1986
-2339,2550,2550
-1804,3020,3020
-1188,3379,3379
-515,3615,3615
189,3718,3718
901,3685,3685
1594,3516,3516
2242,3219,3219
2821,2803,2803
3310,2285,2285
3692,1683,1683
3952,1020,1020
4081,319,319
4074,-393,-393
3931,-1092,-1092
3657,-1750,-1750
3264,-2344,-2344
2764,-2852,-2852
2176,-3256,-3256
1523,-3540,-3540
